,Team,Win,Loss,Tie,Win_Loss,Points_For,Points_Allowed,Point_Differential,Margin_of_Victory,Strength_of_Schedule,SRS,Off_SRS,Def_SRS,Year,C,CB,DE,DT,FB,FS,G,ILB,K,LB,LS,LT,OL,OLB,P,QB,RB,RT,S,SS,T,TE,WR,KR,WLB,O_Line
10,Jacksonville Jaguars,2,5,0,0.286,145,194,-49,-7.0,-4.7,-11.7,-1.9,-9.8,2024,0.01645577140636071,0.05805768836297582,0.08189820298561198,0.04017757104025826,0.0,0.02146414499836591,0.06498830977156637,0.0932343523372917,0.0033886727422776583,2.644807691928708e-06,0.00509531916660928,0.101456440875786,0.0,0.09376539165563332,0.0103095952009215,0.07392563044235352,0.03038270220588738,0.02002016326838023,0.03698441977096608,0.028295873597606085,2.1150531077582802e-05,0.045007965332035244,0.17506798950034344,0.0,0.0,0.20294183585317094
11,Tennessee Titans,1,5,0,0.167,106,144,-38,-6.3,-0.4,-6.7,-3.4,-3.3,2024,0.0520704520080532,0.1164999685334559,0.026478549125384353,0.1081909578343546,0.0,0.05532893224168965,0.02488279877173001,0.057738919546766625,0.01556863959102563,0.010558569365029991,0.004773305966655238,0.024351729654528823,0.0,0.12318899995056884,0.004093380112145976,0.06188655589159216,0.048538549353591864,0.012998231930194677,0.02056346008811088,0.05101595106319747,0.033092715224793824,0.019441515746846466,0.12873781800028383,0.0,0.0,0.14739592758930053
12,Kansas City Chiefs,6,0,0,1.0,146,103,43,7.2,2.6,9.7,2.1,7.6,2024,0.024405619441638944,0.04189290958199758,0.10191309412331102,0.06801504105974998,0.0,0.006453893906266927,0.13254890094206492,0.019260231667850937,0.01371498491477364,4.856586792987353e-05,0.0046643468990982696,0.009663098128983345,0.0,0.026822726499886106,0.0035075322079426473,0.16076387327220804,0.026714910273081788,0.08417072390311771,0.007745895737961014,0.05767196816672481,3.372899527729716e-05,0.10153313096125034,0.1084548234488848,0.0,0.0,0.2508220714110822
13,Denver Broncos,4,3,0,0.571,145,106,39,5.6,2.1,7.7,-1.2,8.9,2024,0.00796535473191349,0.0741537039223036,0.0748581554840069,0.053266993814002996,0.0046684912425752545,0.014813759870279816,0.04315177934232326,0.05949913074042182,0.016161812018475278,0.00010533965885356841,0.0038910809259268316,0.08355948150829168,0.0,0.06859737862183886,0.008046834361535997,0.2611600645083543,0.02892087179205956,0.03974037586166802,0.030009244655232966,0.009579564716114281,0.001314758716679005,0.03066728767001466,0.0858685358371279,0.0,0.0,0.17573175016087542
14,Los Angeles Chargers,3,3,0,0.5,106,83,23,3.8,0.3,4.1,-3.6,7.7,2024,0.01571343117959939,0.14042944756217185,0.029474243321171753,0.018709714722135187,0.003741147914277647,0.013178913331002677,0.05689980015964408,0.04052558412292303,0.009313098753908558,0.001590497643459959,0.005701100285411528,0.02640763709710173,0.004429852543344987,0.22545462243004893,0.009801206655056805,0.08557966934844471,0.022126001446587815,0.02844007153912452,0.0047945941011254215,0.0771513266907471,3.905253695506897e-05,0.027099965439227193,0.15339902117653006,0.0,0.0,0.13192984505576977
15,Las Vegas Raiders,2,5,0,0.286,124,183,-59,-8.4,-0.2,-8.6,-3.2,-5.4,2024,0.046829166943947564,0.04750437413659683,0.23003325574600125,0.09394563981305458,0.0008175749521791651,0.03226279945220001,0.02996426356878669,0.02704152602099074,0.020572097011001718,0.0009361410166726803,0.00497712024459719,0.07409497306342706,0.0,0.03575375601586736,0.015559583911331838,0.07472886352188585,0.0306276982130174,0.006688205519513979,0.0160328748657914,0.01832224399974089,0.0,0.04366094455336743,0.14964689743002835,0.0,0.0,0.1575766090956753
16,Washington Commanders,5,2,0,0.714,218,152,66,9.4,-2.7,6.8,6.7,0.1,2024,0.03522985220599657,0.07205141574962713,0.061206439887687904,0.20174690830102618,0.004246735153306301,0.004949935543662613,0.08023408684111577,0.031239930856134523,0.010175224320187635,1.0467157530578481e-05,0.0060751800993778735,0.05255605014223988,0.0,0.03889367973015098,0.015700736295867723,0.06155593827763392,0.02699537287159458,0.04551119675609223,0.04663323417474012,0.0,0.0010397404392794706,0.04142801303263272,0.1625198621641153,0.0,0.0,0.21457092638472391
17,Philadelphia Eagles,4,2,0,0.667,134,115,19,3.2,0.0,3.1,0.1,3.0,2024,0.047041232417329146,0.11755187009415635,0.03562862601987291,0.06362388490347974,0.0,0.0054261328313711076,0.04091031709724533,0.027766929403286813,0.018278197257960843,0.000499806705064293,0.0041395917203478055,0.05232550324026642,0.0,0.19291467721121602,0.005339473378419633,0.07949107995376632,0.026383221875592854,0.07464534187922113,0.03580090502833887,0.005543453260291844,0.006153737069220337,0.05428385409203861,0.10625216456151362,0.0,0.0,0.22107613170328239
18,Dallas Cowboys,3,3,0,0.5,126,168,-42,-7.0,2.0,-5.0,0.5,-5.5,2024,0.009650258499098195,0.0981573756895337,0.137600179605003,0.057114607564256833,0.0038840669158264384,0.01679475682446292,0.09303460940433662,0.013347005090199099,0.003855975188388409,0.00646837520052862,0.0048568430651558915,0.03828357556260427,0.0,0.02539818759389247,0.01601388602827973,0.21731838308399615,0.04627479546917268,0.033569626930987036,0.041780401429183704,0.0,5.619188323712682e-05,0.01879792118519883,0.11774297778665828,0.0,0.0,0.17459426228026326
19,New York Giants,2,5,0,0.286,99,149,-50,-7.1,0.2,-6.9,-9.7,2.8,2024,0.01187839898833688,0.07268000000947611,0.055245079019034964,0.08664946543272356,0.0017721099464546668,0.012101456482911992,0.06960188425735934,0.05241933844281215,0.03194299443480192,0.002518268043742509,0.0044836750672406596,0.08446152132388288,0.0,0.11402386100410002,0.012083537317246987,0.21430649098629656,0.023213727640573632,0.030156336331741033,0.012248992500347597,0.0,0.0,0.02438880392043072,0.08382405885048583,0.0,0.0,0.19609814090132013
20,Detroit Lions,5,1,0,0.833,182,120,62,10.3,2.7,13.0,6.8,6.3,2024,0.061620014268848264,0.1074773825560856,0.12262111572532458,0.07402596100536787,0.0,0.03177751846517261,0.07125532792353188,0.03760173976131145,0.00912585205761601,0.0039929858862705605,0.0034519059172665478,0.056181372182655495,0.0,0.04922503088270769,0.017252303149918997,0.12822018035970031,0.04961926445554205,0.04180773408380635,0.025478947806553028,0.00597161021756478,0.0013848152475811836,0.024263652170652232,0.07764528587652246,0.0,0.0,0.23224926370642315
21,Minnesota Vikings,5,2,0,0.714,188,137,51,7.3,2.3,9.6,6.3,3.3,2024,0.03374736138236024,0.11445141587637268,0.05045545100903631,0.04000371929973242,0.013115538213759128,0.01323111691037503,0.026742903719163626,0.02898587400438139,0.0033765384544520547,0.0028613345801876563,0.005386737331916197,0.030419564560482507,0.0,0.1281526687182076,0.003961430015420945,0.16364347895112874,0.0443036507189706,0.09964947338500292,0.056914700990700985,0.0,0.0004239879640126635,0.0669604919879215,0.07321256192641482,0.0,0.0,0.19098329101102196
22,Green Bay Packers,5,2,0,0.714,186,143,43,6.1,0.8,6.9,4.3,2.6,2024,0.01745048922078594,0.16776534792801368,0.1284317610605515,0.136774452023553,0.0012254140779283846,0.0,0.07453616496480849,0.027133271838437806,0.00508460300681761,0.0011339723437675886,0.005242551412798898,0.0821299307376679,0.0,0.026911049456392326,0.0036157816230392515,0.08839521092213583,0.0873547114729162,0.009429029829518702,0.03928862867344544,0.03082305645869526,0.010073607118526404,0.022118095790456455,0.03508287003974333,0.0,0.0,0.19361922187130742
23,Chicago Bears,4,2,0,0.667,148,101,47,7.8,-6.6,1.2,-2.2,3.5,2024,0.03442941736144382,0.08020886056715096,0.15051577248758916,0.035385810687564814,0.004642502064603139,0.02203443791523069,0.08063022772962775,0.08949022388063002,0.016827257967573773,2.6326809602301613e-05,0.009792688635480391,0.008431604030630997,0.0,0.059240222095761574,0.004029691965823781,0.04580851839681284,0.042228447429179736,0.03296551327730468,0.03380877674467416,0.01670769547452765,5.2653619204603226e-05,0.07890003469910624,0.15384331616047692,0.0,0.0,0.15650941601821183
24,Tampa Bay Buccaneers,4,3,0,0.571,209,182,27,3.9,5.6,9.4,9.6,-0.2,2024,0.043780923551991806,0.13960774887837793,0.039475693830900764,0.10340287144176466,0.0,0.039396671151441076,0.04264316054517092,0.06193707360781958,0.02054992444470929,2.740126925457537e-05,0.007180143600981427,0.0351674227209919,0.0,0.09353080692808809,0.006398190205966016,0.04780492344707211,0.020825889380077293,0.0069260561151772634,0.01767332547101444,0.018494932000238364,0.00012330365665314468,0.01738912823591389,0.23766440951639548,0.0,0.0,0.12864086658998505
25,Atlanta Falcons,4,3,0,0.571,163,169,-6,-0.9,1.6,0.8,0.4,0.3,2024,0.020814757861934596,0.07077111956097905,0.034826207360609374,0.11727225030360074,0.0018681715374025847,0.05697260584407065,0.055985642871194743,0.0467899898106347,0.0208678735560927,0.0021960078183853302,0.003915210562428821,0.08679530130055385,0.0,0.06434210532748744,0.011926486591439267,0.1327821323685947,0.04271361566702391,0.05851063172248361,0.00730524630702931,0.015737711546229816,0.0017863336995651768,0.06737613117438791,0.07844446720787172,0.0,0.0,0.22389266745573197
26,New Orleans Saints,2,5,0,0.286,177,180,-3,-0.4,0.9,0.5,3.1,-2.6,2024,0.03268597582463851,0.09834530458766096,0.12499357285021354,0.04952675031970567,0.0044126554317361405,0.03176384017954025,0.09023382079287054,0.04476735779615524,0.004454958348808704,6.508471511570465e-05,0.0055060567776530605,0.018633335711611427,0.0,0.03000838041366583,0.0031239999404721066,0.07070137724950681,0.09719908414672664,0.07383658455377458,0.051450750093043576,0.0,6.509643013012519e-06,0.07150799113740415,0.09677660948668357,0.0,0.0,0.21539622652590806
27,Carolina Panthers,1,6,0,0.143,110,243,-133,-19.0,0.5,-18.5,-6.7,-11.8,2024,0.08137026445952271,0.09794987873752296,0.041548573349751726,0.05315550364461069,0.0,0.0,0.05471854643026263,0.04179231544503199,0.009744784626480797,0.0024990817856119824,0.0044111800007930555,0.028789948067110868,0.0,0.059929996774193056,0.010463077830132712,0.05908382719411902,0.054708346174555805,0.10187103309567694,0.018878196928547992,0.08440249619585961,0.00029981862299533396,0.06974172033953187,0.12464141029768824,0.0,0.0,0.2670496106755684
28,Seattle Seahawks,4,3,0,0.571,180,164,16,2.3,-1.5,0.8,5.3,-4.5,2024,0.02184495414795124,0.05477349097933954,0.10540061533489878,0.047403895151593975,0.004555201939410103,0.06639701957335813,0.018914671961232015,0.05536439573596499,0.021825358857521446,0.00028057667319667407,0.0036329359495313094,0.029345086219099644,0.0,0.05738080934855459,0.015250023884112082,0.10936709901461436,0.021136952974166803,0.02271846759394285,0.011178247701828332,0.09876206208066074,0.003149030905940027,0.06334811200604633,0.16797099196703605,0.0,0.0,0.09597221082816577
29,Arizona Cardinals,3,4,0,0.429,150,178,-28,-4.0,5.7,1.7,1.5,0.1,2024,0.037499418565290675,0.054105045854817346,0.09495158823001097,0.04920026905926176,0.0,0.07610454313680709,0.04440989909333628,0.0043442953370544405,0.02238706041795871,0.017634384702229184,0.006564863896115143,0.06994339934116707,0.0,0.052438534370747795,0.006400382077208481,0.20222557205774955,0.05426385533510809,0.028360493007990605,0.009838883341979982,0.04987397727694753,0.014965893403972643,0.03493291735543445,0.0695547241388122,0.0,0.0,0.19517910341175726
30,Los Angeles Rams,3,4,0,0.429,144,174,-30,-4.3,3.9,-0.4,-0.4,0.0,2024,0.03169484129723283,0.05529358668563799,0.0176911689556968,0.11092733374398225,0.0,0.0,0.109918515804687,0.018927144546529003,0.0034060597197787257,1.0452183441721536e-05,0.0035924863842478863,0.06566121208088836,0.0,0.03640097314334783,0.0036917762483258823,0.19666234231581123,0.016383940591278567,0.06159160919249272,0.017661756268508903,0.016598451375186566,0.0020379210310068237,0.07471890494727551,0.15712952348464337,0.0,0.0,0.2709040994063077
31,San Francisco 49ers,3,4,0,0.429,180,158,22,3.1,0.9,4.1,3.9,0.1,2024,0.022015832669714467,0.1230333209903477,0.14438265774887246,0.07444290984807349,0.014753022524232646,0.004584308497110615,0.04371164376110172,0.06324985076996378,0.00861332553978052,0.0009458605162707222,0.0053076988572042585,0.09378826366038168,0.0,0.0609142387163038,0.01153403790123233,0.043558014459102574,0.04782889517300473,0.01590431548334882,0.01678376035553482,0.02521711407560337,9.526911164154167e-05,0.06723768415234706,0.1120979751888269,0.0,0.0,0.1755153246861882
